iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,favourable
52,52,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",105,98052.83730874724,-1.9471626912527573,-16.434193894426663,40.95238095238095,0.9666810021747899,-0.011190476190564378,False
53,53,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",99,96842.61300540598,-3.1573869945940247,-16.256482157968232,40.4040404040404,0.9430915271886634,-0.02489898989907781,False
54,54,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",93,95647.3259838874,-4.352674016112612,-16.07839249825689,39.784946236559136,0.9181881044125141,-0.040376344086109094,False
55,55,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",85,89497.72930121914,-10.502270698780858,-23.8871709057362,36.470588235294116,0.7830852689824911,-0.1232352941177329,False
56,56,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 3.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",82,92335.16502783442,-7.664834972165579,-20.980648683140334,37.80487804878049,0.8364215274807694,-0.08987804878057432,False
57,57,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",75,96863.70932912952,-3.1362906708704785,-19.147622366968363,40.0,0.9260935103820711,-0.03500000000008769,False
58,58,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",72,86041.58950299963,-13.958410497000372,-22.763706705249508,33.33333333333333,0.6849609600306458,-0.20166666666675076,False
59,59,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",72,90443.56784987601,-9.556432150123994,-19.984444475470298,36.11111111111111,0.7809306791326951,-0.13222222222230784,False
60,60,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.4, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",62,97887.39373950189,-2.1126062604981177,-13.563831495118572,40.32258064516129,0.9415781642400174,-0.026935483871055616,False
61,61,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",91,105247.90676399058,5.247906763990584,-9.36409410848784,43.956043956043956,1.1038530027466005,0.06390109890100908,False
62,62,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",88,108584.68606705566,8.584686067055669,-7.458396197734141,45.45454545454545,1.1781634703305797,0.10136363636354574,False
63,63,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 2.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",87,107016.88864835737,7.016888648357367,-10.111423597321355,44.827586206896555,1.1478942037823439,0.0856896551723235,False
64,64,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 2.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",81,103091.77650353362,3.0917765035336275,-11.211210560076356,43.20987654320987,1.0678184025079354,0.045246913580157484,False
65,65,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.6, 'liq_move_away_atr': 3.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 20.0}",75,96863.70932912956,-3.136290670870434,-17.105173581209975,40.0,0.9262283780349604,-0.03500000000008767,False
