iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,favourable
32,32,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 1.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",131,83673.50450105249,-16.326495498947512,-19.46086204756249,35.87786259541985,0.7887008901389532,-0.12881177580974965,False
33,33,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 2.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",122,85231.95107344528,-14.768048926554723,-17.960794084186272,36.0655737704918,0.7953737914827137,-0.12371258798155788,False
34,34,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 2.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",116,86299.4414760721,-13.700558523927898,-16.933291324349298,36.206896551724135,0.8007274960416823,-0.11975161199793677,False
35,35,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",104,86209.21028167475,-13.790789718325247,-18.011074523854575,35.57692307692308,0.7746777528694113,-0.1354432487449694,False
36,36,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 3.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",102,85847.42229457454,-14.152577705425461,-18.355151545504633,35.294117647058826,0.7631501443925812,-0.1423754517860237,False
37,37,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 4.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",92,84067.90437710764,-15.932095622892362,-19.903293087991948,33.69565217391305,0.7126325436405406,-0.1814891760580157,False
38,38,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 4.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",87,78169.71487810605,-21.830285121893944,-23.641228387564027,29.88505747126437,0.595129509131464,-0.2761502594895491,False
39,39,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 5.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",84,78629.43922234379,-21.370560777656213,-23.192154391821994,29.761904761904763,0.5937198696716662,-0.2792872214712663,False
40,40,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.0, 'liq_move_away_atr': 5.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",73,81803.69330929272,-18.196306690707274,-20.091437659732925,30.136986301369863,0.6107327450694809,-0.26818109375221877,False
41,41,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 1.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",118,93280.01133847586,-6.7199886615241455,-12.39763001722045,38.983050847457626,0.9018064683977302,-0.05154554043487655,False
42,42,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 1.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",110,89503.23697430646,-10.496763025693534,-14.722658782387343,37.27272727272727,0.8389446372835171,-0.09348987542278672,False
43,43,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 2.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",103,89288.28228183082,-10.711717718169178,-14.927464388041955,36.89320388349515,0.8248392532124186,-0.10269407371244682,False
44,44,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 2.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",99,88586.84006080001,-11.413159939199991,-15.595788011292111,36.36363636363637,0.8079795589313269,-0.11513952997291461,False
45,45,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 3.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",93,85278.06232194614,-14.721937678053854,-18.888504260915127,34.40860215053764,0.7341864296700277,-0.16406850556622213,False
46,46,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 3.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",90,85798.55182409637,-14.20144817590363,-18.03755266125465,34.44444444444444,0.7350325205473074,-0.16300805520326994,False
47,47,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 4.0}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",81,87358.36155666916,-12.641638443330837,-15.533633499989175,34.5679012345679,0.7433043412381847,-0.15966409184057873,False
48,48,"[{'max_rr': 10.0, 'min_rr': 1.0, 'atr_dist_for_liq_generation': 1.2, 'liq_move_away_atr': 4.5}]","{'atr_period': 14, 'rr': 1.5, 'sldist_atr_mult': 2.0}",80,79906.3652834452,-20.09363471655481,-20.78696109671978,30.0,0.6000869695132603,-0.27345113640354335,False
