entry_time,exit_time,side,entry,sl,tp,units,exit,exit_reason,pnl,equity_after,r_multiple
2019-11-06 10:00:00+00:00,2019-11-06 12:00:00+00:00,short,1.10914,1.10978,1.10786,3452510.184314655,1.10786,TP,4350.162832235833,225310.81462836475,1.968749999999794
2019-11-19 03:00:00+00:00,2019-11-20 08:00:00+00:00,long,1.10722,1.1064100000000001,1.10884,2781614.9954119883,1.1064100000000001,SL,-2308.740446192252,223002.0741821725,-1.0246913580248538
2019-11-25 22:00:00+00:00,2019-11-26 09:00:00+00:00,short,1.10115,1.1019299999999999,1.0995900000000005,2859000.951054297,1.1019299999999999,SL,-2287.2007608431854,220714.87342132934,-1.0256410256412007
2019-12-03 15:00:00+00:00,2019-12-06 14:00:00+00:00,long,1.10822,1.10649,1.11168,1275808.5168862897,1.10649,SL,-2232.664904551186,218482.20851677816,-1.011560693641694
2019-12-22 23:00:00+00:00,2019-12-23 06:00:00+00:00,short,1.10781,1.10863,1.1061699999999999,2664417.1770337406,1.10863,SL,-2238.1104287088056,216244.09808806935,-1.0243902439025976
2019-12-30 03:00:00+00:00,2019-12-30 12:00:00+00:00,long,1.12041,1.1186500000000001,1.1239299999999994,1228659.6482278332,1.1186500000000001,SL,-2187.0141738454113,214057.08391422394,-1.0113636363637124
2020-01-09 03:00:00+00:00,2020-01-09 10:00:00+00:00,short,1.11152,1.1124,1.10976,2432466.8626616583,1.10976,TP,4232.4923410309275,218289.57625525485,1.9772727272725783
2020-01-17 03:00:00+00:00,2020-01-17 03:00:00+00:00,long,1.11362,1.11312,1.11462,4365791.525105578,1.11312,SL,-2270.2115930552322,216019.36466219963,-1.0400000000002665
2020-01-17 19:00:00+00:00,2020-01-20 06:00:00+00:00,short,1.10926,1.1099299999999999,1.10792,3224169.6218241234,1.1099299999999999,SL,-2224.6770390589013,213794.68762314072,-1.0298507462688546
2020-02-03 19:00:00+00:00,2020-02-04 07:00:00+00:00,long,1.10616,1.10531,1.10786,2515231.6190957217,1.10531,SL,-2188.2515086136514,211606.43611452708,-1.0235294117648597
2020-02-06 01:00:00+00:00,2020-02-06 07:00:00+00:00,short,1.09963,1.10055,1.0977900000000005,2300069.9577670745,1.10055,SL,-2162.065760300914,209444.37035422618,-1.0217391304349295
2020-02-25 20:00:00+00:00,2020-02-26 00:00:00+00:00,long,1.08814,1.08681,1.0908000000000002,1574769.701911412,1.08681,SL,-2125.9390975806964,207318.43125664548,-1.0150375939850602
2020-03-13 20:00:00+00:00,2020-03-13 20:00:00+00:00,short,1.11136,1.11201,1.1100599999999998,3189514.327025122,1.1100599999999998,TP,4082.57833859199,211401.00959523747,1.9692307692305697
2020-03-27 10:00:00+00:00,2020-03-27 11:00:00+00:00,long,1.10024,1.09883,1.1030600000000004,1499297.9403916134,1.1030600000000004,TP,4198.034233096721,215599.0438283342,1.9858156028367882
2020-04-03 14:00:00+00:00,2020-04-03 14:00:00+00:00,short,1.07893,1.0803099999999999,1.07617,1562311.9117995948,1.0803099999999999,SL,-2187.236676519539,213411.80715181466,-1.0144927536232842
2020-04-13 07:00:00+00:00,2020-04-13 08:00:00+00:00,long,1.09617,1.09285,1.10281,642806.6480476366,1.09285,SL,-2146.9742044791838,211264.83294733547,-1.0060240963855818
2020-04-17 14:00:00+00:00,2020-04-17 16:00:00+00:00,short,1.0886,1.08935,1.0871,2816864.4392977,1.0871,TP,4168.959370160387,215433.79231749586,1.97333333333316
2020-04-29 19:00:00+00:00,2020-04-30 00:00:00+00:00,long,1.08716,1.0857700000000001,1.0899399999999995,1549883.397967841,1.0857700000000001,SL,-2185.3355911345184,213248.45672636133,-1.0143884892087296
2020-05-06 22:00:00+00:00,2020-05-07 00:00:00+00:00,short,1.07948,1.0802399999999999,1.0779600000000003,2805900.746399964,1.0802399999999999,SL,-2188.60258219198,211059.85414416934,-1.026315789473861
2020-05-19 03:00:00+00:00,2020-05-19 05:00:00+00:00,long,1.09051,1.09,1.0915300000000001,4138428.512630686,1.0915300000000001,TP,4138.42851263023,215198.28265679957,1.9607843137252339
2020-06-16 14:00:00+00:00,2020-06-18 16:00:00+00:00,short,1.127,1.13077,1.11946,570817.7258800972,1.11946,TP,4292.549298618314,219490.83195541787,1.9946949602121669
2020-06-24 16:00:00+00:00,2020-06-24 18:00:00+00:00,long,1.12706,1.12554,1.1300999999999999,1444018.6312856765,1.12554,SL,-2223.788692180082,217267.0432632378,-1.0131578947369286
2020-06-26 08:00:00+00:00,2020-06-26 08:00:00+00:00,short,1.12252,1.12346,1.12064,2311351.524077143,1.12346,SL,-2218.8974631142237,215048.14580012357,-1.0212765957448215
2020-07-02 21:00:00+00:00,2020-07-03 04:00:00+00:00,long,1.12391,1.1231900000000001,1.1253499999999996,2986779.8027801914,1.1231900000000001,SL,-2210.217054057231,212837.92874606635,-1.0277777777779662
2020-08-11 07:00:00+00:00,2020-08-11 08:00:00+00:00,short,1.17334,1.17614,1.1677400000000002,760135.4598074032,1.17614,SL,-2143.581996656911,210694.34674940942,-1.0071428571429042
2020-08-14 14:00:00+00:00,2020-08-18 00:00:00+00:00,long,1.18348,1.18096,1.1885200000000002,836088.6775769958,1.1885200000000002,TP,4197.165161436539,214891.51191084596,1.9920634920634401
2020-08-24 14:00:00+00:00,2020-08-26 12:00:00+00:00,short,1.18258,1.18499,1.17776,891666.0245263232,1.17776,TP,4279.996917726276,219171.50882857223,1.9917012448132234
2020-08-31 02:00:00+00:00,2020-08-31 08:00:00+00:00,long,1.19082,1.18916,1.19414,1320310.2941480295,1.18916,SL,-2218.121294168856,216953.3875344034,-1.0120481927711633
2020-09-04 07:00:00+00:00,2020-09-04 08:00:00+00:00,short,1.18366,1.1857799999999998,1.1794200000000001,1023365.0355396869,1.1857799999999998,SL,-2190.0011760549614,214763.38635834842,-1.0094339622642132
2020-09-14 21:00:00+00:00,2020-09-15 03:00:00+00:00,long,1.18648,1.18557,1.1883,2360037.2127291905,1.1883,TP,4248.066982912075,219011.4533412605,1.9780219780218333
2020-09-17 22:00:00+00:00,2020-09-17 22:00:00+00:00,short,1.18448,1.18543,1.18258,2305383.7193816737,1.18543,SL,-2236.22220780054,216775.23113345995,-1.021052631579085
2020-10-01 16:00:00+00:00,2020-10-02 02:00:00+00:00,long,1.17513,1.1728800000000001,1.1796299999999997,963445.471704325,1.1728800000000001,SL,-2187.0212207688123,214588.20991269115,-1.0088888888889476
2020-10-15 06:00:00+00:00,2020-10-15 06:00:00+00:00,short,1.17547,1.17628,1.17385,2649237.1594160143,1.17385,TP,4238.779455065156,218826.9893677563,1.9753086419751462
2020-10-20 23:00:00+00:00,2020-10-21 04:00:00+00:00,long,1.18279,1.18172,1.1849299999999998,2045112.0501661294,1.1849299999999998,TP,4335.637546351535,223162.62691410782,1.9813084112148291
2020-10-29 03:00:00+00:00,2020-10-29 10:00:00+00:00,short,1.17479,1.17632,1.17173,1458579.260876492,1.17173,TP,4434.080953064436,227596.70786717226,1.986928104575078
2020-11-06 06:00:00+00:00,2020-11-06 06:00:00+00:00,long,1.18143,1.18089,1.18251,4214753.849392196,1.18251,TP,4467.6390803550485,232064.34694752732,1.9629629629627192
2020-12-25 03:00:00+00:00,2020-12-25 03:00:00+00:00,short,1.21932,1.21982,1.21832,4641286.938951058,1.21982,SL,-2413.4692082549027,229650.8777392724,-1.0400000000002665
2020-12-25 04:00:00+00:00,2020-12-27 22:00:00+00:00,long,1.22006,1.21859,1.2229999999999996,1562250.8689747907,1.21859,SL,-2327.7537947724245,227323.12394449997,-1.0136054421769611
2021-01-11 09:00:00+00:00,2021-01-11 09:00:00+00:00,short,1.21902,1.22048,1.2161,1557007.6982499817,1.2161,TP,4515.322324924796,231838.44626942475,1.9863013698629242
2021-01-24 22:00:00+00:00,2021-01-25 01:00:00+00:00,long,1.21688,1.2161,1.21844,2972287.772684922,1.2161,SL,-2377.8302181483355,229460.61605127642,-1.0256410256411934
