iter,attempt,entry_params,exit_params,trades,final_equity,total_return_%,max_drawdown_%,win_rate_%,profit_factor,avg_R,avg_profit_per_trade,favourable
242,242,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 4.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",17,105089.25788231574,5.089257882315734,-2.0361945555555705,52.94117647058824,1.6098248412561555,0.3001960784313368,299.36811072445414,False
243,243,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 4.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",18,109334.66723960321,9.334667239603212,-2.0361945555555705,61.111111111111114,2.2693564393076193,0.5044444444444044,518.5926244224001,False
244,244,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 4.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",17,107743.65263568303,7.743652635683018,-3.0386908312703853,58.82352941176471,2.037521108622341,0.44725490196074547,455.50897856958926,False
245,245,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 5.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",16,108857.62903952076,8.857629039520765,-3.0386908312703964,62.5,2.3418566402638272,0.5391666666666258,553.6018149700492,False
246,246,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 5.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",16,108857.62903952075,8.857629039520742,-3.0386908312703964,62.5,2.3454220353757047,0.5391666666666257,553.601814970049,False
247,247,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.6, 'liq_move_away_atr': 5.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",16,111607.20711447575,11.60720711447576,-2.0361945555555705,68.75,3.101484432038815,0.6954166666666224,725.4504446547367,False
248,248,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 1.0}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",11,106339.50759361144,6.339507593611438,-2.0361945555555705,63.63636363636363,2.4991424205119945,0.5675757575757161,576.318872146494,False
249,249,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 1.25}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",11,106339.50759361144,6.339507593611438,-2.0361945555555705,63.63636363636363,2.4991424205119945,0.5675757575757161,576.318872146494,False
250,250,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 1.5}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",11,106339.50759361144,6.339507593611438,-2.0361945555555705,63.63636363636363,2.4991424205119945,0.5675757575757161,576.318872146494,False
251,251,"[{'max_rr': 10.0, 'min_rr': 1.5, 'atr_dist_for_liq_generation': 2.7, 'liq_move_away_atr': 1.75}]","{'pip_size': 0.0001, 'rr': 1.5, 'stop_pips': 30.0}",11,106339.50759361144,6.339507593611438,-2.0361945555555705,63.63636363636363,2.4991424205119945,0.5675757575757161,576.318872146494,False
